detector row	table 0	table 1	table 2	table 3	wavelength
438	0	0	0	0	65535
439	0	0	0	0	65535
440	0	0	0	0	65535
441	0	0	0	0	65535
442	0	0	0	0	65535
443	0	0	0	0	65535
444	0	0	0	0	65535
445	0	0	0	0	65535
446	0	0	0	0	65535
447	0	0	0	0	65535
448	0	0	0	0	65535
449	0	0	0	0	65535
450	0	0	0	0	65535
451	0	0	0	0	65535
452	0	0	0	0	65535
453	0	0	0	0	65535
454	0	0	0	0	65535
455	0	0	0	0	65535
456	0	0	0	0	65535
457	0	0	0	0	65535
458	0	0	0	0	65535
459	0	0	0	0	65535
460	0	0	0	0	65535
461	0	0	0	0	65535
462	0	0	0	0	65535
463	0	0	0	0	65535
464	0	0	0	0	65535
465	0	0	0	0	65535
466	0	0	0	0	65535
467	0	0	0	0	65535
468	0	0	0	0	65535
469	0	0	0	0	65535
470	0	0	0	0	65535
471	0	0	0	0	65535
472	0	0	0	0	65535
473	0	0	0	0	65535
474	0	0	0	0	65535
475	0	0	0	0	65535
476	0	0	0	0	65535
477	0	0	0	0	65535
478	0	0	0	0	65535
479	0	0	0	0	65535
